CUENTA	DESCRIPCION
271000900	Otros créditos contingentes
272000000	Provisiones por riesgo país para operaciones con deudores domiciliados en el exterior
273000000	Provisiones especiales para créditos al exterior
274000000	Provisiones adicionales para colocaciones
274000100	Provisiones adicionales colocaciones comerciales
274000200	Provisiones adicionales colocaciones para vivienda
274000300	Provisiones adicionales colocaciones de consumo
275000000	Provisiones por ajustes a provisión mínima exigida para cartera normal con evaluación individual
275000100	Ajuste a provisión mínima adeudado por bancos en el país
275000200	Ajuste a provisión mínima colocaciones comerciales en el país
275000300	Ajuste a provisión mínima créditos contingentes en el país
275000400	Ajuste a provisión mínima adeudado por bancos en el exterior
275000500	Ajuste a provisión mínima colocaciones comerciales en el exterior
275000600	Ajuste a provisión mínima créditos contingentes en el exterior
279000000	Provisiones constituidas por riesgo de crédito a raíz de exigencias prudenciales complementarias
279000100	Provisiones colocaciones comerciales
279000200	Provisiones colocaciones para vivienda
279000300	Provisiones colocaciones de consumo
280000000	IMPUESTOS CORRIENTES
285000000	IMPUESTOS DIFERIDOS
290000000	OTROS PASIVOS
290000100	Garantías en efectivo recibidas por operaciones financieras de derivados
290000101	Garantías en efectivo recibidas por operaciones financieras de derivados con una entidad de contraparte central en el país
290000102	Garantías en efectivo recibidas por operaciones financieras de derivados con una entidad de contraparte central en el exterior
290000103	Garantías en efectivo recibidas por operaciones financieras de derivados con otras contrapartes en el país
290000104	Garantías en efectivo recibidas por operaciones financieras de derivados con otras contrapartes en el exterior
290000200	Acreedores por intermediación de instrumentos financieros
290000201	Acreedores por intermediación de operaciones a término
290000202	Acreedores por intermediación de operaciones a plazo (simultaneas)
290000203	Otras cuentas por pagar por intermediación de instrumentos financieros
290000300	Cuentas por pagar a terceros
290000301	Cuentas por pagar por obligaciones de beneficios a empleados
290000302	Cuentas por pagar por cotizaciones previsionales e impuestos de los empleados.
290000303	Cuentas por pagar a sociedades con influencia significativa o negocio conjunto por servicios recibidos
290000304	Cuentas por pagar a otras sociedades con participación minoritaria por servicios recibidos
290000305	Cuentas por pagar a Tesorería General de la República y otros organismos fiscales
290000306	Cuentas por pagar relacionado con préstamos estudiantiles
290000307	Cuentas por pagar relacionado con préstamos de leasing financiero
290000308	Provisiones para gastos pendientes de pago
290000309	Saldo de precio y otras obligaciones por pagar respecto de adquisición de bienes para ceder en leasing financiero como arrendador
290000390	Otras cuentas y documentos por pagar a terceros
290000400	Cuentas por pagar por parte de filiales bancarias (aplica solo a nivel individual de la filial bancaria)
290000500	Dividendos acordados por pagar
290000501	Dividendos acordados por pagar de acciones comunes
290000502	Dividendos acordados por pagar de acciones preferentes
290000700	Ajustes de valorización por macrocoberturas
290000800	Pasivo por ingresos de actividades habituales procedentes de contratos con clientes
290000801	Ingresos diferidos por programas de fidelización y méritos para clientes
290000802	Ingresos diferidos por comisiones de intermediación de seguros no devengadas
290000803	Ingresos diferidos por comisiones de recaudación de primas de seguros no devengadas
290000809	Otros ingresos diferidos por percibidos de adelantado
290000900	IVA débito fiscal por pagar
290001000	Otras garantías en efectivo recibidas
290001100	Operaciones pendientes
290001200	Otros Pasivos
295000000	PASIVOS INCLUIDOS EN GRUPOS ENAJENABLES PARA LA VENTA
300000000	PATRIMONIO
310000000	CAPITAL
311000000	Capital pagado
311000100	Acciones comunes suscritas y pagadas
311000200	Acciones comunes emitidas con liberación de pago por capitalización
311000300	Acciones comunes por conversión de bonos subordinados
311000400	Acciones comunes por conversión de bonos sin plazo fijo de vencimiento
311000500	Acciones comunes por conversión de acciones preferentes
311000600	Adiciones del capital pagado por capitalización sin emisión de acciones comunes liberadas de pago
312000000	Sobreprecio pagado por acciones
313000000	Adquisición de acciones de propia emisión
320000000	RESERVAS
320000100	Reservas no provenientes de utilidades
320000200	Reservas provenientes de utilidades
320000300	Reservas por depreciación de bonos sin plazo fijo de vencimiento
320000400	Reservas por caducidad de bonos sin plazo fijo de vencimiento
330000000	OTRO RESULTADO INTEGRAL ACUMULADO
331000000	Elementos que no se reclasificarán en resultados
331000100	Nuevas mediciones del pasivo (activo) por beneficios definidos neto y resultados actuariales por otros planes de beneficios al personal
331000200	Cambios netos del valor razonable de instrumentos de patrimonio designados a valor razonable con cambios en otro resultado integral
331000201	Cambios acumulados del valor razonable de instrumentos de patrimonio designados a valor razonable con cambios en otro resultado integral
331000202	Resultado por venta de participaciones en instrumentos de patrimonio (acciones) por inversiones minoritarias en sociedades en el país.
331000203	Resultado por venta de participaciones en instrumentos de patrimonio (acciones) por inversiones minoritarias en sociedades en el exterior.
331000209	Otros
331000300	Cambios del valor razonable de pasivos financieros designados a valor razonable con cambios en resultados atribuibles a cambios en el riesgo de crédito del pasivo financiero
331000400	Participación en otro resultado integral de entidades registradas según el método de participación
331000500	Activos no corrientes y grupos enajenables para la venta
331000900	Otros
332000000	Elementos que pueden reclasificarse en resultados
332000100	Cambios del valor razonable de activos financieros a valor razonable con cambios en otro resultado integral
332000200	Diferencias de conversión por entidades en el exterior
332000300	Cobertura contable de inversiones netas en entidades en el exterior
332000400	Cobertura contable de flujo de efectivo
332000500	Elementos no designados de instrumentos de cobertura contable
332000600	Participación en otro resultado integral de entidades registradas según el método de participación
332000700	Activos no corrientes y grupos enajenables para la venta
332000900	Otros
340000000	UTILIDADES (PÉRDIDAS) ACUMULADAS DE EJERCICIOS ANTERIORES
340000100	Utilidades (pérdidas) acumuladas de ejercicios anteriores
340000200	Utilidad del ejercicio anterior por asignar
350000000	UTILIDAD (PÉRDIDA) DEL EJERCICIO
360000000	PROVISIONES PARA DIVIDENDOS, PAGO DE INTERESES Y REAPRECIACIÓN DE INSTRUMENTOS FINANCIEROS DE CAPITAL REGULATORIO EMITIDOS
360000100	Provisiones para dividendos
360000101	Provisión para pago de dividendos de acciones comunes
360000102	Provisión para pago de dividendos de acciones preferentes
360000200	Provisión para pago de intereses de bonos sin plazo fijo de vencimiento
360000300	Provisión para reapreciación de bonos sin plazo fijo de vencimiento
365000000	PROVISIONES DE UNA SUCURSAL BANCARIA EXTRANJERA PARA REMESAS DE UTILIDADES A SU CASA MATRIZ
380000000	PATRIMONIO DE LOS PROPIETARIOS
390000000	DEL INTERES NO CONTROLADOR
411000000	INGRESOS POR INTERESES
411100000	ACTIVOS FINANCIEROS A COSTO AMORTIZADO
411150000	Derechos por pactos de retroventa y prestamos de valores
411150100	Operaciones con bancos del país
411150101	Contratos de retroventa con otros bancos
411150102	Contratos de retroventa con Banco Central de Chile
411150103	Derechos por préstamos de valores
411150200	Operaciones con bancos del exterior
411150201	Contratos de retroventa con otros bancos
411150202	Contratos de retroventa con Bancos Centrales del exterior
411150203	Derechos por préstamos de valores
411150300	Operaciones con otras entidades en el país
411150301	Contratos de retroventa
411150302	Derechos por préstamos de valores
411150400	Operaciones con otras entidades en el exterior
411150401	Contratos de retroventa
411150402	Derechos por préstamos de valores
411200000	Instrumentos financieros de deuda
411200100	Del Estado y Banco Central de Chile
411200101	Instrumentos financieros de deuda del Banco Central de Chile
411200102	Bonos y pagarés de la Tesorería General de la República
411200109	Otros instrumentos financieros de deuda fiscales
411200200	Otros instrumentos financieros de deuda emitidos en el país
411200201	Instrumentos financieros de deuda de otros bancos del país
411200202	Bonos y efectos de comercio de empresas del país
411200209	Otros instrumentos financieros de deuda emitidos en el país
411200300	Instrumentos financieros de deuda emitidos en el exterior
411200301	Instrumentos financieros de deuda de Bancos Centrales en el exterior
411200302	Instrumentos financieros de deuda de Gobiernos extranjeros y entidades fiscales en el exterior
411200303	Instrumentos financieros de deuda de otros bancos en el exterior
411200304	Bonos y efectos de comercio de empresas en el exterior
411200309	Otros instrumentos financieros de deuda emitidos en el exterior
411250000	Adeudado por bancos
411250100	Bancos del país
411250101	Préstamos interbancarios de liquidez
411250102	Préstamos interbancarios comerciales
411250103	Sobregiros en cuentas corrientes
411250104	Créditos comercio exterior exportaciones chilenas
411250105	Créditos comercio exterior importaciones chilenas
411250106	Créditos comercio exterior entre terceros países
411250107	Depósitos no transferibles en bancos del país
411250190	Otras acreencias con bancos del país
411250200	Bancos del exterior
411250201	Préstamos interbancarios de liquidez
411250202	Préstamos interbancarios comerciales
411250203	Sobregiros en cuentas corrientes
411250204	Créditos comercio exterior exportaciones chilenas
411250205	Créditos comercio exterior importaciones chilenas
411250206	Créditos comercio exterior entre terceros países
411250207	Depósitos en cuenta corriente en bancos del exterior por operaciones de derivados
411250208	Otros depósitos no transferibles en bancos del exterior
411250290	Otras acreencias con bancos del exterior
411250300	Banco Central de Chile
411250301	Depósitos en cuenta corriente del Banco Central de Chile por operaciones de derivados con COMDER
411250302	Otros depósitos en el Banco Central de Chile no disponibles
411250309	Otras acreencias con el Banco Central de Chile
411250400	Bancos Centrales del exterior
411250401	Depósitos en cuenta corriente de Bancos Centrales del exterior por operaciones de derivados
411250402	Otros depósitos en Bancos Centrales del exterior no disponibles
411250409	Otras acreencias con Bancos Centrales del exterior
411280000	Colocaciones comerciales
411280100	Préstamos comerciales
411280101	Préstamos en el país
411280102	Préstamos en el exterior
411280103	Créditos para infraestructura escolar Ley N° 20.845
411280104	Préstamos con letras de crédito para fines generales
411280105	Préstamos con mutuos hipotecarios endosables para fines generales
411280106	Préstamos con mutuos hipotecarios no endosables para fines generales
411280200	Créditos de comercio exterior
411280201	Acreditivos negociados a plazo de exportaciones chilenas
411280202	Otros créditos para exportaciones chilenas
411280203	Acreditivos negociados a plazo de importaciones chilenas
411280204	Otros créditos para importaciones chilenas
411280205	Acreditivos negociados a plazo de operaciones entre terceros países
411280209	Otros créditos para operaciones entre terceros países
411280300	Deudores en cuentas corrientes
411280400	Deudores por tarjetas de crédito
411280500	Operaciones de factoraje
411280501	Factoring con responsabilidad
411280502	Factoring sin responsabilidad
411280600	Operaciones de leasing financiero comercial
411280601	Leasing por bienes inmobiliarios
411280602	Leasing por bienes no inmobiliarios
411280700	Préstamos estudiantiles
411280701	Créditos para estudios superiores Ley N° 20.027
411280702	Créditos con garantía CORFO
411280709	Otros créditos para estudios superiores
411280900	Otros créditos y cuentas por cobrar
411280901	Deudores por pago de obligaciones avaladas
411280902	Deudores por boletas de garantía pagadas
411280990	Otras cuentas por cobrar
411350000	Colocaciones para vivienda
411350100	Préstamos con letras de crédito para vivienda
411350200	Préstamos con mutuos hipotecarios endosable
411350300	Préstamos con mutuos financiados con bonos hipotecarios
411350400	Otros créditos con mutuos para vivienda
411350401	Otros créditos con mutuos no endosables para vivienda
411350402	Otros créditos con mutuos para vivienda
411350500	Operaciones de leasing financiero para vivienda
411350900	Otros créditos y cuentas por cobrar
411350901	Créditos complementarios a los mutuos
411350902	Créditos de enlace
411350903	Créditos provenientes de la ANAP
411350990	Cuentas por cobrar a deudores para vivienda
411380000	Colocaciones de consumo
411380100	Créditos de consumo en cuotas
411380200	Deudores en cuentas corrientes
411380300	Deudores por tarjetas de crédito
411380400	Operaciones de leasing financiero de consumo
411380900	Otros créditos y cuentas por cobrar
411380901	Créditos de consumo rotativos
411380990	Cuentas por cobrar a deudores de consumo
411450000	Otros instrumentos financieros
411450100	Depósitos en el Banco Central de Chile
411450101	Depósitos en cuenta corriente
411450102	Depósitos overnight
411450109	Otros depósitos disponibles
411450200	Depósitos en Bancos Centrales del exterior
411450201	Depósitos en cuenta corriente
411450202	Depósitos overnight
411450209	Otros depósitos disponibles
411450300	Depósitos en bancos del país
411450400	Depósitos en bancos del exterior
411450900	Otros intereses ganados
411700000	ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN OTRO RESULTADO INTEGRAL
411720000	Instrumentos financieros de deuda
411720100	Del Estado y Banco Central de Chile
411720101	Instrumentos financieros de deuda del Banco Central de Chile
411720102	Bonos y pagarés de la Tesorería General de la República
411720109	Otros instrumentos financieros de deuda fiscales
411720200	Otros instrumentos financieros de deuda emitidos en el país
411720201	Instrumentos financieros de deuda de otros bancos del país
411720202	Bonos y efectos de comercio de empresas del país
411720209	Otros instrumentos financieros de deuda emitidos en el país
411720300	Instrumentos financieros de deuda emitidos en el exterior
411720301	Instrumentos financieros de deuda de Bancos Centrales en el exterior
411720302	Instrumentos financieros de deuda de Gobiernos extranjeros y entidades fiscales en el exterior
411720303	Instrumentos financieros de deuda de otros bancos en el exterior
411720304	Bonos y efectos de comercio de empresas en el exterior
411720309	Otros instrumentos financieros de deuda emitidos en el exterior
411740000	Otros instrumentos financieros
411740100	Créditos originados y adquiridos por la entidad
411740101	Adeudado por bancos
411740102	Colocaciones comerciales
411740103	Colocaciones para vivienda
411740104	Colocaciones de consumo
411740200	Otros
411800000	RESULTADO DE COBERTURAS CONTABLES DEL RIESGO DE TASAS DE INTERÉS
411800100	Utilidad por contratos de derivados financieros para cobertura contable
411800200	Pérdida por contratos de derivados financieros para cobertura contable
411800300	Resultados por ajuste de activos financieros cubiertos
412000000	GASTOS POR INTERESES
412100000	PASIVOS FINANCIEROS A COSTO AMORTIZADO
412150000	Depósitos y otras obligaciones a la vista
412150100	Cuentas corrientes
412150101	Cuentas corrientes de bancos del país
412150102	Cuentas corrientes de bancos del exterior
412150103	Cuentas corrientes de otras personas jurídicas
412150104	Cuentas corrientes de personas naturales
412150200	Cuentas de depósito a la vista
412150201	Cuentas de ahorro a la vista
412150202	Cuentas a la vista
412150300	Otros depósitos a la vista
412150500	Otras obligaciones a la vista
412180000	Depósitos y otras captaciones a plazo
412180100	Depósitos a plazo
412180200	Cuentas de ahorro a plazo
412180201	Cuentas de ahorro a plazo con giro diferido
412180202	Cuentas de ahorro a plazo con giro incondicional
412180300	Otros saldos acreedores a plazo
412180301	Boletas de garantías pagaderas con 30 días de aviso
412180302	"Depósitos en cuentas ""overnight"""
412180390	Otros
412250000	Obligaciones por pactos de retrocompra y préstamos de valores
412250100	Operaciones con bancos del país
412250101	Contratos de retrocompra con otros bancos
412250102	Contratos de retrocompra con Banco Central de Chile
412250103	Obligaciones por préstamos de valores
412250200	Operaciones con bancos del exterior
412250201	Contratos de retrocompra con otros bancos
412250202	Contratos de retrocompra con Bancos Centrales del exterior
412250203	Obligaciones por préstamos de valores
412250300	Operaciones con otras entidades en el país
412250301	Contratos de retrocompra
412250302	Obligaciones por préstamos de valores
412250400	Operaciones con otras entidades en el exterior
412250401	Contratos de retrocompra
412250402	Obligaciones por préstamos de valores
412280000	Obligaciones con bancos
412280100	Bancos del país
412280110	Financiamientos de comercio exterior
412280111	Financiamientos para exportaciones chilenas
412280112	Financiamientos para importaciones chilenas
412280113	Obligaciones por operaciones entre terceros países
412280120	Préstamos y otras obligaciones
412280121	Préstamos interbancarios de liquidez
412280122	Préstamos interbancarios comerciales
412280123	Sobregiros en cuentas corrientes
412280124	Depósitos a plazo no transferibles
412280129	Otras obligaciones
412280200	Bancos del exterior
412280210	Financiamientos de comercio exterior
412280211	Financiamientos para exportaciones chilenas
412280212	Financiamientos para importaciones chilenas
412280213	Obligaciones por operaciones entre terceros países
412280220	Préstamos y otras obligaciones
412280221	Préstamos interbancarios de liquidez
412280222	Préstamos interbancarios comerciales
412280223	Sobregiros en cuentas corrientes
412280224	Depósitos a plazo no transferibles
412280229	Otras obligaciones
412280300	Banco Central de Chile
412280301	Préstamos y otras obligaciones
412280302	Líneas de crédito por reprogramación de deudas
412280400	Bancos Centrales del exterior
412280401	Préstamos y otras obligaciones
412280402	Líneas de crédito por reprogramación de deudas
412350000	Instrumentos financieros de deuda emitidos
412350100	Letras de Créditos
412350101	Letras de crédito para vivienda
412350102	Letras de crédito para fines generales
412350200	Bonos
412350201	Bonos corrientes
412350203	Bonos hipotecarios
412380000	Otras obligaciones financieras
412380100	Obligaciones con el sector público
412380101	Financiamientos de CORFO
412380102	Obligaciones con otros organismos gubernamentales
412380200	Otras obligaciones en el país
412380201	Adeudado a establecimientos afiliados por el uso de tarjetas de crédito
412380202	Adeudado a establecimientos afiliados por el uso de tarjetas de pago con provisión de fondos tarjetas nominativas
412380203	Adeudado a establecimientos afiliados por el uso de tarjetas de pago con provisión de fondos tarjetas innominadas
412380204	Adeudado a operadores por servicios de operación de tarjetas de crédito
412380205	Adeudado a operadores por servicios de operación de tarjetas de pago con provisión de fondos nominativas
412380206	Adeudado a operadores por servicios de operación de tarjetas de pago con provisión de fondos innominadas
412380207	Adeudado a licenciante de marcas de tarjetas (débito, crédito, pago con provisión de fondos)
412380208	Obligaciones a favor de exportadores chilenos
412380290	Otros créditos obtenidos en el país
412380300	Obligaciones con el exterior
412380301	Adeudado a establecimientos afiliados por el uso de tarjetas
412380302	Adeudado a operadores por servicios de operación de tarjetas (débito, crédito, pago con provisión de fondos)
412380303	Adeudado a licenciante de marcas de tarjetas (débito, crédito, pago con provisión de fondos)
412380304	Obligaciones a favor de exportadores extranjeros
412380305	Adeudado a organismos internacionales
412380306	Otros créditos obtenidos en el exterior
412450000	OBLIGACIONES POR CONTRATOS DE ARRENDAMIENTO
412500000	INSTRUMENTOS FINANCIEROS DE CAPITAL REGULATORIO EMITIDOS
412500100	Bonos subordinados
412800000	RESULTADO DE COBERTURAS CONTABLES DEL RIESGO DE TASAS DE INTERÉS
412800100	Utilidad por contratos de derivados financieros para cobertura contable
412800200	Pérdida por contratos de derivados financieros para cobertura contable
412800300	Resultados por ajuste de pasivos financieros cubiertos
415000000	INGRESOS POR REAJUSTES DE LA U.F., IVP, IPC
415100000	ACTIVOS FINANCIEROS A COSTO AMORTIZADO
415150000	Derechos por pactos de retroventa y prestamos de valores
415150100	Operaciones con bancos del país
415150101	Contratos de retroventa con otros bancos
415150102	Contratos de retroventa con Banco Central de Chile
415150103	Derechos por préstamos de valores
415150200	Operaciones con bancos del exterior
415150201	Contratos de retroventa con otros bancos
415150202	Contratos de retroventa con Bancos Centrales del exterior
415150203	Derechos por préstamos de valores
415150300	Operaciones con otras entidades en el país
415150301	Contratos de retroventa
415150302	Derechos por préstamos de valores
415150400	Operaciones con otras entidades en el exterior
415150401	Contratos de retroventa
415150402	Derechos por préstamos de valores
415200000	Instrumentos financieros de deuda
415200100	Del Estado y Banco Central de Chile
415200101	Instrumentos financieros de deuda del Banco Central de Chile
415200102	Bonos y pagarés de la Tesorería General de la República
415200109	Otros instrumentos financieros de deuda fiscales
415200200	Otros instrumentos financieros de deuda emitidos en el país
415200201	Instrumentos financieros de deuda de otros bancos del país
415200202	Bonos y efectos de comercio de empresas del país
415200209	Otros instrumentos financieros de deuda emitidos en el país
415200300	Instrumentos financieros de deuda emitidos en el exterior
415200301	Instrumentos financieros de deuda de Bancos Centrales en el exterior
415200302	Instrumentos financieros de deuda de Gobiernos extranjeros y entidades fiscales en el exterior
415200303	Instrumentos financieros de deuda de otros bancos en el exterior
415200304	Bonos y efectos de comercio de empresas en el exterior
415200309	Otros instrumentos financieros de deuda emitidos en el exterior
415250000	Adeudado por bancos
415250100	Bancos del país
415250101	Préstamos interbancarios de liquidez
415250102	Préstamos interbancarios comerciales
415250103	Sobregiros en cuentas corrientes
415250104	Créditos comercio exterior exportaciones chilenas
415250105	Créditos comercio exterior importaciones chilenas
415250106	Créditos comercio exterior entre terceros países
415250107	Depósitos no transferibles en bancos del país
415250190	Otras acreencias con bancos del país
415250200	Bancos del exterior
415250201	Préstamos interbancarios de liquidez
415250202	Préstamos interbancarios comerciales
415250203	Sobregiros en cuentas corrientes
415250204	Créditos comercio exterior exportaciones chilenas
415250205	Créditos comercio exterior importaciones chilenas
415250206	Créditos comercio exterior entre terceros países
415250207	Depósitos en cuenta corriente en bancos del exterior por operaciones de derivados
415250208	Otros depósitos no transferibles en bancos del exterior
415250290	Otras acreencias con bancos del exterior
415250300	Banco Central de Chile
415250301	Depósitos en cuenta corriente del Banco Central de Chile por operaciones de derivados con COMDER
415250302	Otros depósitos en el Banco Central de Chile no disponibles
415250390	Otras acreencias con el Banco Central de Chile
415250400	Bancos Centrales del exterior
415250401	Depósitos en cuenta corriente de Bancos Centrales del exterior por operaciones de derivados
415250402	Otros depósitos en Bancos Centrales del exterior no disponibles
415250403	Otras acreencias con Bancos Centrales del exterior
415280000	Colocaciones comerciales
415280100	Préstamos comerciales
415280101	Préstamos en el país
415280102	Préstamos en el exterior
415280103	Créditos para infraestructura escolar Ley N° 20.845
415280104	Préstamos con letras de crédito para fines generales
415280105	Préstamos con mutuos hipotecarios endosables para fines generales
415280106	Préstamos con mutuos hipotecarios no endosables para fines generales
415280200	Créditos de comercio exterior
415280201	Acreditivos negociados a plazo de exportaciones chilenas
415280209	Otros créditos para exportaciones chilenas
415280221	Acreditivos negociados a plazo de importaciones chilenas
415280229	Otros créditos para importaciones chilenas
415280231	Acreditivos negociados a plazo de operaciones entre terceros países
415280239	Otros créditos para operaciones entre terceros países
415280300	Deudores en cuentas corrientes
415280400	Deudores por tarjetas de crédito
415280500	Operaciones de factoraje
415280501	Factoring con responsabilidad
415280502	Factoring sin responsabilidad
415280600	Operaciones de leasing financiero comercial
415280601	Leasing por bienes inmobiliarios
415280602	Leasing por bienes no inmobiliarios
415280700	Préstamos estudiantiles
415280701	Créditos para estudios superiores Ley N° 20.027
415280702	Créditos con garantía CORFO
415280709	Otros créditos para estudios superiores
415280900	Otros créditos y cuentas por cobrar
415280901	Deudores por pago de obligaciones avaladas
415280902	Deudores por boletas de garantía pagadas
415280990	Otras cuentas por cobrar
415350000	Colocaciones para vivienda
415350100	Préstamos con letras de crédito para vivienda
415350200	Préstamos con mutuos hipotecarios endosable
415350300	Préstamos con mutuos financiados con bonos hipotecarios
415350400	Otros créditos con mutuos para vivienda
415350401	Otros créditos con mutuos no endosables para vivienda
415350402	Otros créditos con mutuos para vivienda
415350500	Operaciones de leasing financiero para vivienda
415350900	Otros créditos y cuentas por cobrar
415350901	Créditos complementarios a los mutuos
415350902	Créditos de enlace
415350903	Créditos provenientes de la ANAP
415350990	Cuentas por cobrar a deudores para vivienda
415380000	Colocaciones de consumo
415380100	Créditos de consumo en cuotas
415380200	Deudores en cuentas corrientes
415380300	Deudores por tarjetas de crédito
415380400	Operaciones de leasing financiero de consumo
415380900	Otros créditos y cuentas por cobrar
415380901	Créditos de consumo rotativos
415380990	Cuentas por cobrar a deudores de consumo
415450000	Otros instrumentos financieros
415450100	Depósitos en el Banco Central de Chile
415450101	Depósitos en cuenta corriente
415450102	Depósitos overnight
415450109	Otros depósitos disponibles
415450300	Depósitos en bancos del país
415450900	Otros ingresos por reajustes de la U.F., IVP, IPC ganados
415600000	ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN OTRO RESULTADO INTEGRAL
415620000	Instrumentos financieros de deuda
415620100	Del Estado y Banco Central de Chile
415620101	Instrumentos financieros de deuda del Banco Central de Chile
415620102	Bonos y pagarés de la Tesorería General de la República
415620109	Otros instrumentos financieros de deuda fiscales
415620200	Otros instrumentos financieros de deuda emitidos en el país
415620201	Instrumentos financieros de deuda de otros bancos del país
415620202	Bonos y efectos de comercio de empresas del país
415620209	Otros instrumentos financieros de deuda emitidos en el país
415620300	Instrumentos financieros de deuda emitidos en el exterior
415620301	Instrumentos financieros de deuda de Bancos Centrales en el exterior
415620302	Instrumentos financieros de deuda de Gobiernos extranjeros y entidades fiscales en el exterior
415620303	Instrumentos financieros de deuda de otros bancos en el exterior
415620304	Bonos y efectos de comercio de empresas en el exterior
415620309	Otros instrumentos financieros de deuda emitidos en el exterior
415640000	Otros instrumentos financieros
415640100	Créditos originados y adquiridos por la entidad
415640101	Adeudado por bancos
415640102	Colocaciones comerciales
415640103	Colocaciones para vivienda
415640104	Colocaciones de consumo
415640200	Otros
415800000	RESULTADO DE COBERTURAS CONTABLES DEL RIESGO POR REAJUSTES DE LA U.F., IVP, IPC
415800100	Utilidad por contratos de derivados financieros para cobertura contable
415800200	Pérdida por contratos de derivados financieros para cobertura contable
415800300	Resultados por ajuste de activos financieros cubiertos
416000000	GASTOS POR REAJUSTES DE LA U.F., IVP, IPC
416100100	PASIVOS FINANCIEROS A COSTO AMORTIZADO
416150000	Depósitos y otras obligaciones a la vista
416150100	Cuentas corrientes
416150101	Cuentas corrientes de bancos del país
416150102	Cuentas corrientes de bancos del exterior
416150103	Cuentas corrientes de otras personas jurídicas
416150104	Cuentas corrientes de personas naturales
416150200	Cuentas de depósito a la vista
416150201	Cuentas de ahorro a la vista
416150202	Cuentas a la vista
416150300	Otros depósitos a la vista
416150500	Otras obligaciones a la vista
416180000	Depósitos y otras captaciones a plazo
416180100	Depósitos a plazo
416180200	Cuentas de ahorro a plazo
416180201	Cuentas de ahorro a plazo con giro diferido
416180202	Cuentas de ahorro a plazo con giro incondicional
416180300	Otros saldos acreedores a plazo
416180301	Boletas de garantías pagaderas con 30 días de aviso
416180302	"Depósitos en cuentas ""overnight"""
416180390	Otros
416250000	Obligaciones por pactos de retrocompra y prestamos de valores
416250100	Operaciones con bancos del país
416250101	Contratos de retrocompra con otros bancos
416250102	Contratos de retrocompra con Banco Central de Chile
416250103	Obligaciones por préstamos de valores
416250200	Operaciones con bancos del exterior
416250201	Contratos de retrocompra con otros bancos
416250202	Contratos de retrocompra con Bancos Centrales del exterior
416250203	Obligaciones por préstamos de valores
416250300	Operaciones con otras entidades en el país
416250301	Contratos de retrocompra
416250302	Obligaciones por préstamos de valores
416250400	Operaciones con otras entidades en el exterior
416250401	Contratos de retrocompra
416250402	Obligaciones por préstamos de valores
416280000	Obligaciones con bancos
416280100	Bancos del país
416280110	Financiamientos de comercio exterior
416280111	Financiamientos para exportaciones chilenas
416280112	Financiamientos para importaciones chilenas
416280113	Obligaciones por operaciones entre terceros países
416280120	Préstamos y otras obligaciones
416280121	Préstamos interbancarios de liquidez
416280122	Préstamos interbancarios comerciales
416280123	Sobregiros en cuentas corrientes
416280124	Depósitos a plazo no transferibles
416280129	Otras obligaciones
416280200	Bancos del exterior
416280210	Financiamientos de comercio exterior
416280211	Financiamientos para exportaciones chilenas
416280212	Financiamientos para importaciones chilenas
416280213	Obligaciones por operaciones entre terceros países
416280220	Préstamos y otras obligaciones
416280221	Préstamos interbancarios de liquidez
416280222	Préstamos interbancarios comerciales
416280223	Sobregiros en cuentas corrientes
416280224	Depósitos a plazo no transferibles
416280229	Otras obligaciones
416280300	Banco Central de Chile
416280301	Préstamos y otras obligaciones
416280302	Líneas de crédito por reprogramación de deudas
416280400	Banco Central del Exterior
416280401	Préstamos y otras obligaciones
416280402	Líneas de crédito por reprogramación de deudas
416350000	Instrumentos financieros de deuda emitidos
416350100	Letras de Créditos
416350101	Letras de crédito para vivienda
416350102	Letras de crédito para fines generales
416350200	Bonos
416350201	Bonos corrientes
416350203	Bonos hipotecarios
416380000	Otras obligaciones financieras
416380100	Obligaciones con el sector público
416380101	Financiamientos de CORFO
416380102	Obligaciones con otros organismos gubernamentales
416380200	Otras obligaciones en el país
416380201	Adeudado a establecimientos afiliados por el uso de tarjetas de crédito
416380202	Adeudado a establecimientos afiliados por el uso de tarjetas de pago con provisión de fondos de tarjetas nominativas
416380203	Adeudado a establecimientos afiliados por el uso de tarjetas de pago con provisión de fondos de tarjetas innominadas
416380204	Adeudado a operadores por servicios de operación de tarjetas de crédito
416380205	Adeudado a operadores por servicios de operación de tarjetas de pago con provisión de fondos nominativas
416380206	Adeudado a operadores por servicios de operación de tarjetas de pago con provisión de fondos innominadas
416380207	Adeudado a licenciante de marcas de tarjetas (débito, crédito, pago con provisión de fondos)
416380208	Obligaciones a favor de exportadores chilenos
416380290	Otros créditos obtenidos en el país
416380300	Obligaciones con el exterior
416380301	Adeudado a establecimientos afiliados por el uso de tarjetas
416380302	Adeudado a operadores por servicios de operación de tarjetas (débito, crédito, pago con provisión de fondos)
416380303	Adeudado a licenciante de marcas de tarjetas (débito, crédito, pago con provisión de fondos)
416380304	Obligaciones a favor de exportadores extranjeros
416380305	Adeudado a organismos internacionales
416380306	Otros créditos obtenidos en el exterior
